scenario,htgt,model,seed,source,calib,calib_tag,feat,feat_select,n_features,auroc,auprc,brier,nll,ece,tau,file,f1_at_tau,balacc_at_tau
random,random,lr,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8703827352045095,0.5150646058999224,0.1422871947689603,0.4485500128335911,0.2438273982971367,0.5,random_lr_none_vif_rfe_seed42.csv,0.4071785819358635,0.7855298854477841
random,random,lr,42,notuned,none,none,notuned,vif_rfe,64,0.8703827352045095,0.5150646058999224,0.1422871947689603,0.4485500128335911,0.2438273982971367,0.5,random_lr_notuned_seed42.csv,0.4071785819358635,0.7855298854477841
random,random,lr,42,tuned,platt,platt,none,none,92,0.8707435463266833,0.5148914266678415,0.0591256399137684,0.2096804044003367,0.0075735946784351,0.5,random_lr_platt_none_seed42.csv,0.4005607850991388,0.6334908815498227
random,random,lr,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8703827352045095,0.5150646058999224,0.059108462265086,0.2097308602084171,0.0073252838770611,0.5,random_lr_platt_vif_rfe_seed42.csv,0.3986337150894113,0.6324894552767302
random,random,rf,42,tuned,none,none,none,none,92,0.8858478686633544,0.545969026819263,0.0630417822879741,0.2267902320816563,0.0647924379135499,0.5,random_rf_none_none_seed42.csv,0.4840828701364325,0.6872367492521633
random,random,rf,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8838674092478891,0.539019470754586,0.0621335648453761,0.2217448318921563,0.055816728053552,0.5,random_rf_none_vif_rfe_seed42.csv,0.4704268815360877,0.6787446878675878
random,random,rf,42,notuned,none,none,notuned,vif_rfe,64,0.8838674092478891,0.539019470754586,0.0621335648453761,0.2217448318921563,0.055816728053552,0.5,random_rf_notuned_seed42.csv,0.4704268815360877,0.6787446878675878
random,random,rf,42,tuned,platt,platt,none,none,92,0.8858478686633544,0.545969026819263,0.0661875309573471,0.390859561844034,0.0605602471979819,0.5,random_rf_platt_none_seed42.csv,0.4503844745514463,0.6621588385842618
random,random,rf,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8838674092478891,0.539019470754586,0.0670933860900736,0.3842235150548686,0.0617412120974885,0.5,random_rf_platt_vif_rfe_seed42.csv,0.4393491124260355,0.6564911895939509
random,random,xgb,42,tuned,none,none,none,none,92,0.8927753647557379,0.5791759661402885,0.0545825952927858,0.1928060859009459,0.0051170785891072,0.5,random_xgb_none_none_seed42.csv,0.4696509863429438,0.6659767041125019
random,random,xgb,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8916908583730463,0.5753544324751094,0.0548031471829408,0.1937286083680618,0.0050987413004771,0.5,random_xgb_none_vif_rfe_seed42.csv,0.4653371320037986,0.6640896177495623
random,random,xgb,42,notuned,none,none,notuned,none,92,0.8927753647557379,0.5791759661402885,0.0545825953069679,0.1928060859009459,0.0051170779808682,0.5,random_xgb_notuned_seed42.csv,0.4696509863429438,0.6659767041125019
random,random,xgb,42,tuned,platt,platt,none,none,92,0.8927753647557378,0.5791731346692016,0.0584617333916972,0.2160179064745924,0.0259978093412194,0.5,random_xgb_platt_none_seed42.csv,0.5046535677352637,0.6932005775802724
random,random,xgb,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8916908697632451,0.5753545530507764,0.0586804717903619,0.217281519240101,0.0261959885177037,0.5,random_xgb_platt_vif_rfe_seed42.csv,0.5076578902082258,0.6947552751636238
temporal,temporal,lgbm,42,tuned,none,none,none,none,92,0.8868497957738387,0.5708551989284247,0.0556698554707784,0.1972541064541872,0.0048178661472677,0.5,temporal_lgbm_none_none_seed42.csv,0.467343147063027,0.6652814260210702
temporal,temporal,lgbm,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8861934803560967,0.5674182635949785,0.0558705370296087,0.1979538790500437,0.0043842780417399,0.5,temporal_lgbm_none_vif_rfe_seed42.csv,0.4666284732168433,0.6647460333545473
temporal,temporal,lgbm,42,notuned,none,none,notuned,none,92,0.8868497957738387,0.5708551989284248,0.0556698554707784,0.1972541064541872,0.0048178661472677,0.5,temporal_lgbm_notuned_seed42.csv,0.467343147063027,0.6652814260210702
temporal,temporal,lgbm,42,tuned,platt,platt,none,none,92,0.8868497957738387,0.5708551989284247,0.0604647187682299,0.2258516506941407,0.032143663736352,0.5,temporal_lgbm_platt_none_seed42.csv,0.5100209963733537,0.6988447384781772
temporal,temporal,lgbm,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8861934803560967,0.5674182635949785,0.0605782779189054,0.2259787677408151,0.0320690272080406,0.5,temporal_lgbm_platt_vif_rfe_seed42.csv,0.5064114832535885,0.6968150826204988
temporal,temporal,lr,42,tuned,none,none,none,none,92,0.867593207669789,0.5167372232391128,0.1431737574599278,0.4493817093122264,0.2426759280209428,0.5,temporal_lr_none_none_seed42.csv,0.4052509824688536,0.7817231457948062
temporal,temporal,lr,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8671906286549851,0.5164437034064744,0.1433506776933306,0.4498454410053449,0.2430545377308035,0.5,temporal_lr_none_vif_rfe_seed42.csv,0.4053926074482605,0.7820119746951129
temporal,temporal,lr,42,notuned,none,none,notuned,vif_rfe,64,0.8671906286549851,0.5164437034064744,0.1433506776933306,0.4498454410053449,0.2430545377308035,0.5,temporal_lr_notuned_seed42.csv,0.4053926074482605,0.7820119746951129
temporal,temporal,lr,42,tuned,platt,platt,none,none,92,0.867593207669789,0.5167372232391128,0.059586963309304,0.2113690460863084,0.0054377704429838,0.5,temporal_lr_platt_none_seed42.csv,0.4051568154402895,0.6354737683319436
temporal,temporal,lr,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8671906286549851,0.5164437034064744,0.0596027028888982,0.2115204919604281,0.00512030270271,0.5,temporal_lr_platt_vif_rfe_seed42.csv,0.4046757164404223,0.6352639927917716
temporal,temporal,rf,42,tuned,none,none,none,none,92,0.8804856767918287,0.5324194660486958,0.0646595919262347,0.2314308272771741,0.0653050354603454,0.5,temporal_rf_none_none_seed42.csv,0.4727018791264601,0.6822282942810413
temporal,temporal,rf,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8786133071582012,0.5251924633453445,0.0638819593509779,0.227208280581665,0.0572000837750625,0.5,temporal_rf_none_vif_rfe_seed42.csv,0.4640308582449373,0.6766828312851076
temporal,temporal,rf,42,notuned,none,none,notuned,vif_rfe,64,0.8786133071582012,0.5251924633453445,0.0638819593509779,0.227208280581665,0.0572000837750625,0.5,temporal_rf_notuned_seed42.csv,0.4640308582449373,0.6766828312851076
temporal,temporal,rf,42,tuned,platt,platt,none,none,92,0.8804856767918287,0.5324194660486958,0.067866547836005,0.4140947517040932,0.0618419894763413,0.5,temporal_rf_platt_none_seed42.csv,0.4452908587257618,0.6597825172908932
temporal,temporal,rf,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8786133071582012,0.5251924633453445,0.0686937572190301,0.4060596592319373,0.0632584318375626,0.5,temporal_rf_platt_vif_rfe_seed42.csv,0.4352851075680568,0.6550523888860703
temporal,temporal,xgb,42,tuned,none,none,none,none,92,0.8870180057090509,0.570288499190542,0.0557406621324655,0.1977206593071366,0.0069289562340083,0.5,temporal_xgb_none_none_seed42.csv,0.4719133162246934,0.667410492740788
temporal,temporal,xgb,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8859066454969666,0.5659863390844629,0.0560452554181788,0.1988200533625956,0.007148953302887,0.5,temporal_xgb_none_vif_rfe_seed42.csv,0.4700389105058365,0.6675440568263398
temporal,temporal,xgb,42,notuned,none,none,notuned,none,92,0.887018005709051,0.5702884991905419,0.0557406620926135,0.1977206593071366,0.0069289562340083,0.5,temporal_xgb_notuned_seed42.csv,0.4719133162246934,0.667410492740788
temporal,temporal,xgb,42,tuned,platt,platt,none,none,92,0.8870180133721244,0.5702890570287027,0.0613783478799108,0.2339470738042628,0.0359115927188102,0.5,temporal_xgb_platt_none_seed42.csv,0.5124371859296483,0.7018794053202801
temporal,temporal,xgb,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8859066465916913,0.5659853545961753,0.0618840670917722,0.2358526529975231,0.0361238787725904,0.5,temporal_xgb_platt_vif_rfe_seed42.csv,0.5114246472718192,0.7023482485730416
