split,n_cont,n_cat,mean_ks,mean_w,mean_js,mean_skl,cont_sig_rate,cat_sig_rate
random,15,79,0.003675775655405948,0.0072948708175312954,2.1978763479906844e-05,8.977877853411153e-05,0.0,0.20253164556962025
temporal,15,79,0.008085932631214173,0.013057434324989332,0.00011029127445484065,0.00044335608211934296,0.4666666666666667,0.6582278481012658
hospital,15,79,0.08468489004149164,0.15900553912631937,0.006305219564189053,0.03410421324870229,1.0,0.9493670886075949
