split,model,auroc,brier,accuracy,ece,logloss,pos_rate_test,mc_samples,hidden,dropout,epochs
random,mlp_mc_dropout,0.9062235256186943,0.05254207528833508,0.9317186099770984,0.008047485554621052,0.18445280376234335,0.0896395499352783,50,"(128, 64)",0.3,30
temporal,mlp_mc_dropout,0.8985263442364155,0.0539323473087967,0.9308279384124694,0.004558064506274606,0.19044748088445776,0.09050177510299394,50,"(128, 64)",0.3,30
hospital,mlp_mc_dropout,0.9121451198682279,0.05197878647798433,0.9334183312083865,0.01435740220854287,0.18257103906017438,0.09463096755914435,50,"(128, 64)",0.3,30
